,Type,Numeric,,,,,
,Format,F8,,,,,
,Measurement,Nominal,,,,,
Valid Values,1,Attended a General Assembly,2203,43.4%,,,
,999,No Answer,1005,19.8%,,,
Missing Values,9999,Not applicable,1866,36.8%,,,
,,,,,,,
q0010_0003,,,,,,q0010_0003,"In your visits to the Occupy camp, you have: (Select all that apply)"
,,Value,Count,Percent,,,
Standard Attributes,Position,21,,,,,
,Label,"In your visits to the Occupy camp, you have: (Select all that apply)",,,,,
,Type,Numeric,,,,,
,Format,F8,,,,,
,Measurement,Nominal,,,,,
Valid Values,1,Taken part in a Working Group,1219,24.0%,,,
,999,No Answer,1989,39.2%,,,
Missing Values,9999,Not applicable,1866,36.8%,,,
,,,,,,,
q0010_0004,,,,,,q0010_0004,"In your visits to the Occupy camp, you have: (Select all that apply)"
,,Value,Count,Percent,,,
Standard Attributes,Position,22,,,,,
,Label,"In your visits to the Occupy camp, you have: (Select all that apply)",,,,,
,Type,Numeric,,,,,
,Format,F8,,,,,
,Measurement,Nominal,,,,,
Valid Values,1,Volunteered to provide food or services to people at the cam,1320,26.0%,,,
,999,No Answer,1888,37.2%,,,
Missing Values,9999,Not applicable,1866,36.8%,,,
,,,,,,,
q0010_0005,,,,,,q0010_0005,"In your visits to the Occupy camp, you have: (Select all that apply)"
,,Value,Count,Percent,,,
Standard Attributes,Position,23,,,,,
,Label,"In your visits to the Occupy camp, you have: (Select all that apply)",,,,,
,Type,Numeric,,,,,
,Format,F8,,,,,
,Measurement,Nominal,,,,,
Valid Values,1,Participated in workshops or events hosted at the camp,1266,25.0%,,,
,999,No Answer,1942,38.3%,,,
Missing Values,9999,Not applicable,1866,36.8%,,,
,,,,,,,
q0010_0006,,,,,,q0010_0006,"In your visits to the Occupy camp, you have: (Select all that apply)"
,,Value,Count,Percent,,,
Standard Attributes,Position,24,,,,,
,Label,"In your visits to the Occupy camp, you have: (Select all that apply)",,,,,
,Type,Numeric,,,,,
,Format,F8,,,,,
,Measurement,Nominal,,,,,
Valid Values,1,Marched in a protest,2202,43.4%,,,
,999,No Answer,1006,19.8%,,,
Missing Values,9999,Not applicable,1866,36.8%,,,
,,,,,,,
q0010_0007,,,,,,q0010_0007,"In your visits to the Occupy camp, you have: (Select all that apply)"
,,Value,Count,Percent,,,
Standard Attributes,Position,25,,,,,
,Label,"In your visits to the Occupy camp, you have: (Select all that apply)",,,,,
,Type,Numeric,,,,,
,Format,F8,,,,,
,Measurement,Nominal,,,,,
Valid Values,1,Organized an event or action,731,14.4%,,,
,999,No Answer,2477,48.8%,,,
Missing Values,9999,Not applicable,1866,36.8%,,,
,,,,,,,
q0010_0008,,,,,,q0010_0008,"In your visits to the Occupy camp, you have: (Select all that apply)"
,,Value,Count,Percent,,,
Standard Attributes,Position,26,,,,,
,Label,"In your visits to the Occupy camp, you have: (Select all that apply)",,,,,
,Type,Numeric,,,,,
,Format,F8,,,,,
,Measurement,Nominal,,,,,
Valid Values,1,Got arrested,114,2.2%,,,
,999,No Answer,3094,61.0%,,,
Missing Values,9999,Not applicable,1866,36.8%,,,
,,,,,,,
q0010_0009,,,,,,q0010_0009,"In your visits to the Occupy camp, you have: (Select all that apply)"
,,Value,Count,Percent,,,
Standard Attributes,Position,27,,,,,
,Label,"In your visits to the Occupy camp, you have: (Select all that apply)",,,,,
,Type,Numeric,,,,,
,Format,F8,,,,,
,Measurement,Nominal,,,,,
Valid Values,1,"Other (please describe activities, one per line):",837,16.5%,,,
,999,No Answer,2371,46.7%,,,
Missing Values,9999,Not applicable,1866,36.8%,,,
,,,,,,,
q010_other,,,,,,q010_other,"Other (please describe activities, one per line):"
,,Value,,,,,
Standard Attributes,Position,28,,,,,
,Label,"Other (please describe activities, one per line):",,,,,
,Type,String,,,,,
,Format,A1016,,,,,
,Measurement,Nominal,,,,,
,,,,,,,
q0011_0001,,,,,,q0011_0001,Have you participated in any of the following activities related to the Occupy movement? Select all that apply.
,,Value,Count,Percent,,,
Standard Attributes,Position,29,,,,,
,Label,Have you participated in any of the following activities related to the Occupy movement? Select all that apply.,,,,,
,Type,Numeric,,,,,
,Format,F8,,,,,
,Measurement,Nominal,,,,,
Valid Values,1,"No, I have not participated in any activity related to the O",439,8.7%,,,
,999,No Answer,4635,91.3%,,,
,,,,,,,
q0011_0002,,,,,,q0011_0002,Have you participated in any of the following activities related to the Occupy movement? Select all that apply.
,,Value,Count,Percent,,,
Standard Attributes,Position,30,,,,,
,Label,Have you participated in any of the following activities related to the Occupy movement? Select all that apply.,,,,,
,Type,Numeric,,,,,
,Format,F8,,,,,
,Measurement,Nominal,,,,,
Valid Values,1,Had a face to face discussion about Occupy,3689,72.7%,,,
,999,No Answer,1385,27.3%,,,
,,,,,,,
q0011_0003,,,,,,q0011_0003,Have you participated in any of the following activities related to the Occupy movement? Select all that apply.
,,Value,Count,Percent,,,
Standard Attributes,Position,31,,,,,
,Label,Have you participated in any of the following activities related to the Occupy movement? Select all that apply.,,,,,
,Type,Numeric,,,,,
,Format,F8,,,,,
,Measurement,Nominal,,,,,
Valid Values,1,"Posted about Occupy via Facebook, Twitter, or other social m",3770,74.3%,,,
,999,No Answer,1304,25.7%,,,
,,,,,,,
q0011_0004,,,,,,q0011_0004,Have you participated in any of the following activities related to the Occupy movement? Select all that apply.
,,Value,Count,Percent,,,
Standard Attributes,Position,32,,,,,
,Label,Have you participated in any of the following activities related to the Occupy movement? Select all that apply.,,,,,
,Type,Numeric,,,,,
,Format,F8,,,,,
,Measurement,Nominal,,,,,
Valid Values,1,Wrote a blog post about Occupy,930,18.3%,,,
,999,No Answer,4144,81.7%,,,
,,,,,,,
q0011_0005,,,,,,q0011_0005,Have you participated in any of the following activities related to the Occupy movement? Select all that apply.
,,Value,Count,Percent,,,
Standard Attributes,Position,33,,,,,
,Label,Have you participated in any of the following activities related to the Occupy movement? Select all that apply.,,,,,
,Type,Numeric,,,,,
,Format,F8,,,,,
,Measurement,Nominal,,,,,
Valid Values,1,Made a video about Occupy,399,7.9%,,,
,999,No answer,4675,92.1%,,,
,,,,,,,
q0011_0006,,,,,,q0011_0006,Have you participated in any of the following activities related to the Occupy movement? Select all that apply.
,,Value,Count,Percent,,,
Standard Attributes,Position,34,,,,,
,Label,Have you participated in any of the following activities related to the Occupy movement? Select all that apply.,,,,,
,Type,Numeric,,,,,
,Format,F8,,,,,
,Measurement,Nominal,,,,,
Valid Values,1,"Donated money, food, or needed goods to a camp",1968,38.8%,,,
,999,No Answer,3106,61.2%,,,
,,,,,,,
q0011_0007,,,,,,q0011_0007,Have you participated in any of the following activities related to the Occupy movement? Select all that apply.
,,Value,Count,Percent,,,
Standard Attributes,Position,35,,,,,
,Label,Have you participated in any of the following activities related to the Occupy movement? Select all that apply.,,,,,
,Type,Numeric,,,,,
,Format,F8,,,,,
,Measurement,Nominal,,,,,
Valid Values,1,Signed a petition,3027,59.7%,,,
,999,No answer,2047,40.3%,,,
,,,,,,,
q0011_0008,,,,,,q0011_0008,Have you participated in any of the following activities related to the Occupy movement? Select all that apply.
,,Value,Count,Percent,,,
Standard Attributes,Position,36,,,,,
,Label,Have you participated in any of the following activities related to the Occupy movement? Select all that apply.,,,,,
,Type,Numeric,,,,,
,Format,F8,,,,,
,Measurement,Nominal,,,,,
Valid Values,1,Marched in a protest,2503,49.3%,,,
,999,No Answer,2571,50.7%,,,
,,,,,,,
q0011_0009,,,,,,q0011_0009,Have you participated in any of the following activities related to the Occupy movement? Select all that apply.
,,Value,Count,Percent,,,
Standard Attributes,Position,37,,,,,
,Label,Have you participated in any of the following activities related to the Occupy movement? Select all that apply.,,,,,
,Type,Numeric,,,,,
,Format,F8,,,,,
,Measurement,Nominal,,,,,
Valid Values,1,Organized an event or action,948,18.7%,,,
,999,No Answer,4126,81.3%,,,
,,,,,,,
q0011_0010,,,,,,q0011_0010,Have you participated in any of the following activities related to the Occupy movement? Select all that apply.
,,Value,Count,Percent,,,
Standard Attributes,Position,38,,,,,
,Label,Have you participated in any of the following activities related to the Occupy movement? Select all that apply.,,,,,
,Type,Numeric,,,,,
,Format,F8,,,,,
,Measurement,Nominal,,,,,
Valid Values,1,Got arrested,116,2.3%,,,
,999,No Answer,4958,97.7%,,,
,,,,,,,
q0011_0011,,,,,,q0011_0011,Have you participated in any of the following activities related to the Occupy movement? Select all that apply.
,,Value,Count,Percent,,,
Standard Attributes,Position,39,,,,,
,Label,Have you participated in any of the following activities related to the Occupy movement? Select all that apply.,,,,,
,Type,Numeric,,,,,
,Format,F8,,,,,
,Measurement,Nominal,,,,,
Valid Values,1,Made phone calls to elected officials,1203,23.7%,,,
,999,No Answer,3871,76.3%,,,
,,,,,,,
q0011_0012,,,,,,q0011_0012,Have you participated in any of the following activities related to the Occupy movement? Select all that apply.
,,Value,Count,Percent,,,
Standard Attributes,Position,40,,,,,
,Label,Have you participated in any of the following activities related to the Occupy movement? Select all that apply.,,,,,
,Type,Numeric,,,,,
,Format,F8,,,,,
,Measurement,Nominal,,,,,
Valid Values,1,"Other (write in, one per line):",747,14.7%,,,
,999,No Answer,4327,85.3%,,,
,,,,,,,
q0011_other,,,,,,q0011_other,"Other (write in, one per line):"
,,Value,,,,,
Standard Attributes,Position,41,,,,,
,Label,"Other (write in, one per line):",,,,,
,Type,String,,,,,
,Format,A1480,,,,,
,Measurement,Nominal,,,,,
,,,,,,,
q0012,,,,,,q0012,Would you consider the Occupy movement to be the first movement you have participated in?
,,Value,Count,Percent,,,
Standard Attributes,Position,42,,,,,
,Label,Would you consider the Occupy movement to be the first movement you have participated in?,,,,,
,Type,Numeric,,,,,
,Format,F8,,,,,
,Measurement,Nominal,,,,,
Valid Values,1,Yes,1347,26.5%,,,
,2,No,2874,56.6%,,,
,3,I don't consider myself a participant,644,12.7%,,,
Missing Values,999,No Answer,209,4.1%,,,
,,,,,,,
q0013_0001,,,,,,q0013_0001,Political Party
,,Value,Count,Percent,,,
Standard Attributes,Position,43,,,,,
,Label,Political Party,,,,,
,Type,Numeric,,,,,
,Format,F8,,,,,
,Measurement,Ordinal,,,,,
Valid Values,1,"belong, actively participate",991,19.5%,,,
,2,belong but don’t actively participate,1420,28.0%,,,
,3,"used to belong, do not any more",748,14.7%,,,
,4,have never belonged,1323,26.1%,,,
,5,can’t choose/don’t know,110,2.2%,,,
Missing Values,999,No Answer,482,9.5%,,,
,,,,,,,
q0013_0002,,,,,,q0013_0002,Labor Union
,,Value,Count,Percent,,,
Standard Attributes,Position,44,,,,,
,Label,Labor Union,,,,,
,Type,Numeric,,,,,
,Format,F8,,,,,
,Measurement,Ordinal,,,,,
Valid Values,1,"belong, actively participate",357,7.0%,,,
,2,belong but don’t actively participate,365,7.2%,,,
,3,"used to belong, do not any more",936,18.4%,,,
,4,have never belonged,2747,54.1%,,,
,5,can’t choose/don’t know,74,1.5%,,,
Missing Values,999,No Answer,595,11.7%,,,
,,,,,,,
q0013_0003,,,,,,q0013_0003,Nonprofit Organization
,,Value,Count,Percent,,,
Standard Attributes,Position,45,,,,,
,Label,Nonprofit Organization,,,,,
,Type,Numeric,,,,,
,Format,F8,,,,,
,Measurement,Ordinal,,,,,
Valid Values,1,"belong, actively participate",1930,38.0%,,,
,2,belong but don’t actively participate,663,13.1%,,,
,3,"used to belong, do not any more",813,16.0%,,,
,4,have never belonged,1035,20.4%,,,
,5,can’t choose/don’t know,96,1.9%,,,
Missing Values,999,No answer,537,10.6%,,,
,,,,,,,
q0013_0004,,,,,,q0013_0004,Church or Religious Organization
,,Value,Count,Percent,,,
Standard Attributes,Position,46,,,,,
,Label,Church or Religious Organization,,,,,
,Type,Numeric,,,,,
,Format,F8,,,,,
,Measurement,Ordinal,,,,,
Valid Values,1,"belong, actively participate",647,12.8%,,,
,2,belong but don’t actively participate,369,7.3%,,,
,3,"used to belong, do not any more",1645,32.4%,,,
,4,have never belonged,1705,33.6%,,,
,5,can’t choose/don’t know,75,1.5%,,,
Missing Values,999,No answer,633,12.5%,,,
,,,,,,,
q0013_0005,,,,,,q0013_0005,Non-Government Organization
,,Value,Count,Percent,,,
Standard Attributes,Position,47,,,,,
,Label,Non-Government Organization,,,,,
,Type,Numeric,,,,,
,Format,F8,,,,,
,Measurement,Ordinal,,,,,
Valid Values,1,"belong, actively participate",916,18.1%,,,
,2,belong but don’t actively participate,437,8.6%,,,
,3,"used to belong, do not any more",531,10.5%,,,
,4,have never belonged,2001,39.4%,,,
,5,can’t choose/don’t know,476,9.4%,,,
Missing Values,999,No answer,713,14.1%,,,
,,,,,,,
q0013_0006,,,,,,q0013_0006,Affinity Group
,,Value,Count,Percent,,,
Standard Attributes,Position,48,,,,,
,Label,Affinity Group,,,,,
,Type,Numeric,,,,,
,Format,F8,,,,,
,Measurement,Ordinal,,,,,
Valid Values,1,"belong, actively participate",627,12.4%,,,
,2,belong but don’t actively participate,234,4.6%,,,
,3,"used to belong, do not any more",369,7.3%,,,
,4,have never belonged,2085,41.1%,,,
,5,can’t choose/don’t know,980,19.3%,,,
Missing Values,999,No answer,779,15.4%,,,
,,,,,,,
q0013_0007,,,,,,q0013_0007,Social justice organization
,,Value,Count,Percent,,,
Standard Attributes,Position,49,,,,,
,Label,Social justice organization,,,,,
,Type,Numeric,,,,,
,Format,F8,,,,,
,Measurement,Ordinal,,,,,
Valid Values,1,"belong, actively participate",1281,25.2%,,,
,2,belong but don’t actively participate,640,12.6%,,,
,3,"used to belong, do not any more",525,10.3%,,,
,4,have never belonged,1781,35.1%,,,
,5,can’t choose/don’t know,225,4.4%,,,
Missing Values,999,No answer,622,12.3%,,,
,,,,,,,
q0013_0008,,,,,,q0013_0008,Worker Center
,,Value,Count,Percent,,,
Standard Attributes,Position,50,,,,,
,Label,Worker Center,,,,,
,Type,Numeric,,,,,
,Format,F8,,,,,
,Measurement,Ordinal,,,,,
Valid Values,1,"belong, actively participate",83,1.6%,,,
,2,belong but don’t actively participate,67,1.3%,,,
,3,"used to belong, do not any more",172,3.4%,,,
,4,have never belonged,3335,65.7%,,,
,5,can’t choose/don’t know,570,11.2%,,,
Missing Values,999,No answer,847,16.7%,,,
,,,,,,,
q0013_0009,,,,,,q0013_0009,Cultural Groups
,,Value,Count,Percent,,,
Standard Attributes,Position,51,,,,,
,Label,Cultural Groups,,,,,
,Type,Numeric,,,,,
,Format,F8,,,,,
,Measurement,Ordinal,,,,,
Valid Values,1,"belong, actively participate",841,16.6%,,,
,2,belong but don’t actively participate,462,9.1%,,,
,3,"used to belong, do not any more",578,11.4%,,,
,4,have never belonged,2091,41.2%,,,
,5,can’t choose/don’t know,342,6.7%,,,
Missing Values,999,No answer,760,15.0%,,,
,,,,,,,
q0013_0010,,,,,,q0013_0010,Sports groups or teams
,,Value,Count,Percent,,,
Standard Attributes,Position,52,,,,,
,Label,Sports groups or teams,,,,,
,Type,Numeric,,,,,
,Format,F8,,,,,
,Measurement,Ordinal,,,,,
Valid Values,1,"belong, actively participate",382,7.5%,,,
,2,belong but don’t actively participate,161,3.2%,,,
,3,"used to belong, do not any more",1587,31.3%,,,
,4,have never belonged,1994,39.3%,,,
,5,can’t choose/don’t know,172,3.4%,,,
Missing Values,999,No answer,778,15.3%,,,
,,,,,,,
q0013_0011,,,,,,q0013_0011,Another voluntary association
,,Value,Count,Percent,,,
Standard Attributes,Position,53,,,,,
,Label,Another voluntary association,,,,,
,Type,Numeric,,,,,
,Format,F8,,,,,
,Measurement,Ordinal,,,,,
Valid Values,1,"belong, actively participate",1265,24.9%,,,
,2,belong but don’t actively participate,448,8.8%,,,
,3,"used to belong, do not any more",1065,21.0%,,,
,4,have never belonged,1196,23.6%,,,
,5,can’t choose/don’t know,322,6.3%,,,
Missing Values,999,No answer,778,15.3%,,,
,,,,,,,
q0013_0012,,,,,,q0013_0012,Professional Association
,,Value,Count,Percent,,,
Standard Attributes,Position,54,,,,,
,Label,Professional Association,,,,,
,Type,Numeric,,,,,
,Format,F8,,,,,
,Measurement,Ordinal,,,,,
Valid Values,1,"belong, actively participate",863,17.0%,,,
,2,belong but don’t actively participate,803,15.8%,,,
,3,"used to belong, do not any more",707,13.9%,,,
,4,have never belonged,1836,36.2%,,,
,5,can’t choose/don’t know,201,4.0%,,,
Missing Values,999,No answer,664,13.1%,,,
,,,,,,,
q0013_0013,,,,,,q0013_0013,Business Association
,,Value,Count,Percent,,,
Standard Attributes,Position,55,,,,,
,Label,Business Association,,,,,
,Type,Numeric,,,,,
,Format,F8,,,,,
,Measurement,Ordinal,,,,,
Valid Values,1,"belong, actively participate",333,6.6%,,,
,2,belong but don’t actively participate,276,5.4%,,,
,3,"used to belong, do not any more",523,10.3%,,,
,4,have never belonged,2896,57.1%,,,
,5,can’t choose/don’t know,260,5.1%,,,
Missing Values,999,No answer,786,15.5%,,,
,,,,,,,
q0014_0001,,,,,,q0014_0001,Signed a petition
,,Value,Count,Percent,,,
Standard Attributes,Position,56,,,,,
,Label,Signed a petition,,,,,
,Type,Numeric,,,,,
,Format,F8,,,,,
,Measurement,Ordinal,,,,,
Valid Values,1,In the past year,4212,83.0%,,,
,2,Over a year ago,271,5.3%,,,
,3,Not done it but may,88,1.7%,,,
,4,Would never do it,34,.7%,,,
,5,Can't choose/don't know,18,.4%,,,
Missing Values,999,No answer,451,8.9%,,,
,,,,,,,
q0014_0002,,,,,,q0014_0002,"Boycotted, or deliberately bought, certain products for political, ethical or environmental reasons"
,,Value,Count,Percent,,,
Standard Attributes,Position,57,,,,,
,Label,"Boycotted, or deliberately bought, certain products for political, ethical or environmental reasons",,,,,
,Type,Numeric,,,,,
,Format,F8,,,,,
,Measurement,Ordinal,,,,,
Valid Values,1,In the past year,4131,81.4%,,,
,2,Over a year ago,197,3.9%,,,
,3,Not done it but may,189,3.7%,,,
,4,Would never do it,38,.7%,,,
,5,Can't choose/don't know,38,.7%,,,
Missing Values,999,No answer,481,9.5%,,,
,,,,,,,
q0014_0003,,,,,,q0014_0003,Took part in a demonstration
,,Value,Count,Percent,,,
Standard Attributes,Position,58,,,,,
,Label,Took part in a demonstration,,,,,
,Type,Numeric,,,,,
,Format,F8,,,,,
,Measurement,Ordinal,,,,,
